19:21:31
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.016MiB / 6.773GiB   0.13%               18.8kB / 35.5kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.13%               173.4MiB / 6.773GiB   2.50%               43.1kB / 50.6kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.08%               182.4MiB / 6.773GiB   2.63%               23kB / 22.2kB       0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.08%               181.3MiB / 6.773GiB   2.61%               2.33MB / 871kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 9.30%               181.6MiB / 6.773GiB   2.62%               6.98MB / 8.15MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               1.05%               190.7MiB / 6.773GiB   2.75%               1.27MB / 1.68MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    2.81%               40.89MiB / 6.773GiB   0.59%               8.71MB / 8.42MB     0B / 0B             24
19:22:01
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.3kB / 2.8kB       0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               463.6MiB / 2GiB       22.64%              5.47kB / 3.8kB      0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 3.25%               458.9MiB / 6.773GiB   6.62%               37.6MB / 425kB      0B / 0B             10
